LoadMW,SHPInletTPH,MPExtractionTPH,HPToPowerTPH,NormHPperMP
3.5,251.7885,188.3124,63.4761,1.337079
4.0,257.9919,192.9519,65.04,1.337079
4.5,264.1953,197.5914,66.6038,1.337079
5.0,270.3986,202.2309,68.1677,1.337079
6.0,282.8054,211.5099,71.2955,1.337079
7.0,295.2122,220.7889,74.4232,1.337079
8.0,307.6189,230.0679,77.551,1.337079
9.0,320.0257,239.3469,80.6787,1.337079
10.0,332.4324,248.6259,83.8065,1.337079
11.0,344.8392,257.9049,86.9342,1.337079
12.0,357.2459,267.1839,90.062,1.337079
13.0,369.6527,276.4629,93.1898,1.337079
14.0,382.0595,285.7419,96.3175,1.337079
15.0,394.4662,295.021,99.4453,1.337079
16.0,406.873,304.3,102.573,1.337079
17.0,419.2797,313.579,105.7008,1.337079
18.0,431.6865,322.858,108.8285,1.337079
19.0,444.0932,332.137,111.9563,1.337079
20.0,453.5,339.1723,114.3277,1.337079
21.0,468.9068,350.695,118.2118,1.337079
22.0,481.3135,359.974,121.3395,1.337079
23.0,493.7203,369.253,124.4673,1.337079
24.0,506.127,378.532,127.595,1.337079
25.0,518.5338,387.811,130.7228,1.337079
26.0,530.9405,397.09,133.8506,1.337079
27.0,543.375,406.3897,136.9853,1.337079
